system:index,Cropland_Fraction,district,year,.geo
0001000000000000168f,0.5054077727188311,Attock District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001690,0.6343723403917517,Bahawalnagar District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001691,0.21901651789976576,Bahawalpur District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001692,0.3675416082904285,Bhakkar District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001693,0.4734274545433044,Chakwal District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001694,0.2667999871818019,Dera Ghazi Khan District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001695,0.8051537002192442,Faisalabad District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001696,0.8187460251694281,Gujranwala District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001697,0.6522548759753058,Gujrat District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001698,0.8703873273944296,Hafizabad District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000001699,0.7088466426008185,Jhang District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169a,0.38826453463099586,Jhelum District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169b,0.8194466913836085,Kasur District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169c,0.7875124513913146,Khanewal District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169d,0.44689597162740996,Khushab District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169e,0.4813335031959438,Lahore District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000169f,0.46952803684394456,Layyah District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a0,0.8254143884005849,Lodhran District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a1,0.7744242066092499,Mandi Bahauddin District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a2,0.413365309511966,Mianwali District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a3,0.6500062034588772,Multan District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a4,0.4998432175155515,Muzaffargarh District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a5,0.8462807491096853,Narowal District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a6,0.86297392261121,Okara District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a7,0.8568732875227923,Pakpattan District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a8,0.43325955020183865,Rahim Yar Khan District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016a9,0.2516935937738264,Rajanpur District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016aa,0.33423377652585706,Rawalpindi District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ab,0.8395260950600056,Sahiwal District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ac,0.8098109878197836,Sargodha District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ad,0.8549150445621659,Sheikhupura District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016ae,0.7963338990363944,Sialkot District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016af,0.8258403678911664,Toba Tek Singh District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000016b0,0.8324292842961033,Vehari District,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
