system:index,NDVI_mean,district,month,year,.geo
0_0001000000000000168f,0.29099782361103865,Attock District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.5531469873043445,Bahawalnagar District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.1264926914151005,Bahawalpur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.33605337123946094,Bhakkar District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.3378934240203332,Chakwal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.23546899994181847,Dera Ghazi Khan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.39100155410403686,Faisalabad District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.4573845957970729,Gujranwala District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.4318544044671626,Gujrat District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.38837970074760086,Hafizabad District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,-0.010239007911840648,Jhang District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,-8.846385020910024E-4,Jhelum District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.44954739917132763,Kasur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,,Khanewal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.2816849609306566,Khushab District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.345152493311311,Lahore District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.2751313684659127,Layyah District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,,Lodhran District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.5457812568350252,Mandi Bahauddin District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,0.3120567157888497,Mianwali District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,0.0501878116187317,Multan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,0.043252747430547085,Muzaffargarh District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,0.4295578885970198,Narowal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,0.4430196782445249,Okara District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,0.6135833558209848,Pakpattan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,0.2063794478264054,Rahim Yar Khan District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,0.1402326372089901,Rajanpur District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,0.3045004270522034,Rawalpindi District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,0.38487820309403353,Sahiwal District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,-0.022192411520507497,Sargodha District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,0.4135544356622108,Sheikhupura District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,0.47731455743804724,Sialkot District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,,Toba Tek Singh District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,,Vehari District,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,0.348153632600773,Attock District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,0.5038773550846452,Bahawalnagar District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,0.26320501074838987,Bahawalpur District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,0.3600603779369159,Bhakkar District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,0.33366341520166104,Chakwal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,0.33504524167968686,Dera Ghazi Khan District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,0.5461411045839779,Faisalabad District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,0.6511199275790396,Gujranwala District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,0.4908596784082365,Gujrat District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,0.7035449917904564,Hafizabad District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,0.49511869330720826,Jhang District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,0.33222704122166147,Jhelum District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,0.5657547371922061,Kasur District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,0.5847138196060268,Khanewal District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,0.33806913007749,Khushab District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,0.4350474650420967,Lahore District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,0.45186111307079674,Layyah District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,0.6116265186424744,Lodhran District,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
