system:index,NDWI_mean,district,month,year,.geo
0_0001000000000000168f,-0.3915561516840662,Attock District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,-0.4362127022015333,Bahawalnagar District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,-0.3707192360381204,Bahawalpur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,-0.3753890746513362,Bhakkar District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,-0.41332317198354956,Chakwal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,-0.3973745405824135,Dera Ghazi Khan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,-0.33396248805884265,Faisalabad District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,-0.50597891547027,Gujranwala District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,-0.4294531559368565,Gujrat District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,-0.5457827224627394,Hafizabad District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,-0.3713781200983584,Jhang District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,-0.3993146690275271,Jhelum District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,-0.3980254398133303,Kasur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,-0.47446353369907873,Khanewal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,-0.3671421412506848,Khushab District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,-0.3193171871928601,Lahore District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,-0.4254868415723337,Layyah District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,-0.4448564647712956,Lodhran District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,-0.4732733478255396,Mandi Bahauddin District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,-0.40449504655879887,Mianwali District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,-0.4724753753367663,Multan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,-0.4737015770947712,Muzaffargarh District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,-0.43852189044214024,Narowal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,-0.5179591752844749,Okara District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,-0.5149070730252338,Pakpattan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,-0.41212579279531275,Rahim Yar Khan District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,-0.38197106593436997,Rajanpur District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,-0.4833855151127786,Rawalpindi District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,-0.47040228339767093,Sahiwal District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,-0.41505959437346984,Sargodha District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,-0.4905902602438174,Sheikhupura District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,-0.4492487568901108,Sialkot District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,-0.36942873480030375,Toba Tek Singh District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,-0.37412356186025675,Vehari District,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,-0.40846858686804877,Attock District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,-0.49649828668496737,Bahawalnagar District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,-0.3547585859811652,Bahawalpur District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,-0.3920451876904197,Bhakkar District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,-0.3942332595106751,Chakwal District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,-0.391221746163347,Dera Ghazi Khan District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,-0.5310551321449346,Faisalabad District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,-0.5785248071687927,Gujranwala District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,-0.49804850308270165,Gujrat District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,-0.6473214270604725,Hafizabad District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,-0.5207376396809518,Jhang District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,-0.4111510299113852,Jhelum District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,-0.5024619593207765,Kasur District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,-0.5941566069159938,Khanewal District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,-0.4122979518160131,Khushab District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,-0.4192676762956673,Lahore District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,-0.4499884484450118,Layyah District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,-0.5833555234288207,Lodhran District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,-0.5669984218643003,Mandi Bahauddin District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,-0.42096547002258977,Mianwali District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,-0.5527739474000151,Multan District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,-0.48799799843606767,Muzaffargarh District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,-0.5278355520653654,Narowal District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,-0.5100240004486782,Okara District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,-0.5121984227154242,Pakpattan District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,-0.42375163445186154,Rahim Yar Khan District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,-0.37825777841526775,Rajanpur District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,-0.4917561243486174,Rawalpindi District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,-0.5363633815540332,Sahiwal District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,-0.5541901819804389,Sargodha District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,-0.6038144147257235,Sheikhupura District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,-0.5477918802516567,Sialkot District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,-0.5664293293520316,Toba Tek Singh District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016b0,-0.518561279034844,Vehari District,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000168f,-0.38126184608564045,Attock District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001690,-0.4559844393866735,Bahawalnagar District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001691,-0.3017556851463504,Bahawalpur District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001692,-0.3879597551921712,Bhakkar District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001693,-0.38885944776908304,Chakwal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001694,-0.36213204355435413,Dera Ghazi Khan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001695,-0.5277314386297461,Faisalabad District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001696,-0.6083505568014488,Gujranwala District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001697,-0.5112291712943292,Gujrat District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001698,-0.6436624721958852,Hafizabad District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00010000000000001699,-0.520921179672992,Jhang District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169a,-0.4227767562001064,Jhelum District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169b,-0.497828591056121,Kasur District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169c,-0.5287687269198287,Khanewal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169d,-0.4008750627615803,Khushab District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169e,-0.42764276528989775,Lahore District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0001000000000000169f,-0.4390485944453232,Layyah District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a0,-0.5327835417590758,Lodhran District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a1,-0.5892216714986712,Mandi Bahauddin District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,-0.40908118075283084,Mianwali District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,-0.5208463574487611,Multan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,-0.44857450091687523,Muzaffargarh District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,-0.6076662251762682,Narowal District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,-0.4961731866760181,Okara District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,-0.4961738782421915,Pakpattan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,-0.3489948428591236,Rahim Yar Khan District,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
