system:index,Rainfall_mm,district,month,year,.geo
0_0001000000000000168f,8.99793839717635,Attock District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,7.726403988144648,Bahawalnagar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,2.018411853453762,Bahawalpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,4.616624239701877,Bhakkar District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,9.266687070635017,Chakwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,6.756079646379217,Dera Ghazi Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,7.339941904245293,Faisalabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,8.30598228594075,Gujranwala District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,9.093495468796862,Gujrat District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,8.866284764908949,Hafizabad District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,4.539103445670646,Jhang District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,8.632298872769098,Jhelum District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,9.471414820493703,Kasur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,5.146448827982841,Khanewal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,5.593755645858538,Khushab District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,8.9293012212746,Lahore District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,6.197461777223654,Layyah District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,3.1004842711865703,Lodhran District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,9.705795214626203,Mandi Bahauddin District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,7.16808617359652,Mianwali District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,4.192228262827131,Multan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,5.686188373193191,Muzaffargarh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,14.477720499607043,Narowal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,9.25721852552767,Okara District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,9.315117456167204,Pakpattan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,2.5255231181060442,Rahim Yar Khan District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,6.530724320695104,Rajanpur District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,14.202585965621363,Rawalpindi District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,9.887425698087515,Sahiwal District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,6.833006188429256,Sargodha District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,8.31304969964112,Sheikhupura District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,13.191340520958686,Sialkot District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,6.815130587926416,Toba Tek Singh District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,6.311921922353929,Vehari District,1,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,72.82612487866503,Attock District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,10.55182263348016,Bahawalnagar District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,6.720366997623677,Bahawalpur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,23.38548670574336,Bhakkar District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,48.015694378765225,Chakwal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,17.614491410402444,Dera Ghazi Khan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,30.97521031063367,Faisalabad District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,54.62763812419709,Gujranwala District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,58.136561638554035,Gujrat District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,42.42220715191732,Hafizabad District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,24.26907222900671,Jhang District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,50.82254101041911,Jhelum District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,36.88201452569598,Kasur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,16.09920970544351,Khanewal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,33.25784145244526,Khushab District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,51.56422848181551,Lahore District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,17.685449491256875,Layyah District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,15.465215317201178,Lodhran District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,48.22685355909277,Mandi Bahauddin District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,36.13835513020459,Mianwali District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a3,14.980020780242302,Multan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a4,13.568024979095501,Muzaffargarh District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a5,86.88171731059408,Narowal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a6,23.334584745798587,Okara District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a7,16.533415440896473,Pakpattan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a8,7.515856388045359,Rahim Yar Khan District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a9,13.601309206578573,Rajanpur District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016aa,74.77505650961498,Rawalpindi District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ab,18.06954615356552,Sahiwal District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ac,33.78613158543647,Sargodha District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ad,50.623844914855425,Sheikhupura District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016ae,62.40184552652948,Sialkot District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016af,18.7118641732589,Toba Tek Singh District,2,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
