system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
0_0001000000000000168f,Attock District,1,0.13373636984262405,0.15701492283096138,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,Bahawalnagar District,1,0.09811535482131961,0.12946371020229291,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,Bahawalpur District,1,0.05367373194691499,0.12591119956257385,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,Bhakkar District,1,0.05488985875187379,0.10163606135176825,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,Chakwal District,1,0.1462198572208353,0.16492734045900712,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,Dera Ghazi Khan District,1,0.058915579254746074,0.15370369593690075,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,Faisalabad District,1,0.1480789351358469,0.15150820072314156,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,Gujranwala District,1,0.1592954088968931,0.17225554117211725,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,Gujrat District,1,0.15842989809204458,0.1769788051669706,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,Hafizabad District,1,0.15054906024814457,0.1588724275898886,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,Jhang District,1,0.12474966385858408,0.1422729982905704,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,Jhelum District,1,0.14996600916000102,0.16719445099337432,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,Kasur District,1,0.14645974847662308,0.1538042783331036,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,Khanewal District,1,0.12615866500832318,0.13730688249388018,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,Khushab District,1,0.10065975938877711,0.126714851901909,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,Lahore District,1,0.1463095929688138,0.17271195674315618,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,Layyah District,1,0.060031221277642384,0.09922848224000337,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,Lodhran District,1,0.12289136073903031,0.1321569210651482,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,Mandi Bahauddin District,1,0.14222795377745198,0.158630902705204,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,Mianwali District,1,0.10163644123810568,0.13962768974954165,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
