system:index,SoilMoisture,district,month,year,.geo
0_0001000000000000168f,0.21489376610085453,Attock District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,0.11599078259123634,Bahawalnagar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,0.06709141714330716,Bahawalpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,0.08734148281306658,Bhakkar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,0.21743919819261076,Chakwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,0.07100191950106846,Dera Ghazi Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,0.17581279504715924,Faisalabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,0.21040191800059785,Gujranwala District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,0.2241132079308188,Gujrat District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,0.1849445843305626,Hafizabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,0.15909696556306627,Jhang District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,0.21179963511656652,Jhelum District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,0.18136914856467026,Kasur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,0.17564741968345046,Khanewal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,0.14855507556554282,Khushab District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,0.20835829274648265,Lahore District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,0.0866315910056939,Layyah District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,0.1668742905307072,Lodhran District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,0.19681941222092292,Mandi Bahauddin District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,0.1667889874768569,Mianwali District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,0.16432912216796788,Multan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,0.12112924824694044,Muzaffargarh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,0.24441069291259115,Narowal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,0.15815684349675235,Okara District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,0.15553762001931162,Pakpattan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,0.08939405857558355,Rahim Yar Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,0.06643984645970866,Rajanpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,0.27895850127987604,Rawalpindi District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
