system:index,Temperature_C,district,month,year,.geo
0_0001000000000000168f,10.209513627819101,Attock District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001690,12.517011615776688,Bahawalnagar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001691,13.123661061185969,Bahawalpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001692,12.24102770428102,Bhakkar District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001693,10.614102930650153,Chakwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001694,11.930741477607437,Dera Ghazi Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001695,11.87599140020767,Faisalabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001696,11.442650842024056,Gujranwala District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001697,11.328224764216838,Gujrat District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001698,11.672475658732896,Hafizabad District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001699,12.281856165483081,Jhang District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169a,11.029540805509352,Jhelum District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,11.473651355070977,Kasur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,12.537358242147175,Khanewal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,11.542623342772497,Khushab District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,11.237556377693885,Lahore District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,12.530780744924325,Layyah District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,12.816395275243424,Lodhran District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,11.584352247060016,Mandi Bahauddin District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,11.808817520612905,Mianwali District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,12.87990819270391,Multan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,12.869993032702634,Muzaffargarh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,11.169374982601312,Narowal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,11.867963011201875,Okara District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,12.172145248341298,Pakpattan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a8,13.672168694128741,Rahim Yar Khan District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a9,13.13433402056171,Rajanpur District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016aa,9.377259341937723,Rawalpindi District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ab,12.112645102086399,Sahiwal District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ac,11.828959629839892,Sargodha District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ad,11.517634471168735,Sheikhupura District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016ae,11.300203745826652,Sialkot District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016af,12.159637280922352,Toba Tek Singh District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016b0,12.534829354933036,Vehari District,1,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000168f,15.205726498513826,Attock District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001690,19.543351464125628,Bahawalnagar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001691,20.713803512118286,Bahawalpur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001692,18.80452096552454,Bhakkar District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001693,16.120266115905576,Chakwal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001694,18.230822729492427,Dera Ghazi Khan District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001695,18.11969604902802,Faisalabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001696,17.295873599902002,Gujranwala District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001697,16.53839773746864,Gujrat District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001698,17.74191223893448,Hafizabad District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001699,18.629725844620573,Jhang District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169a,16.25216110421067,Jhelum District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169b,17.713442246460254,Kasur District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169c,18.9643617223946,Khanewal District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169d,17.627705093331617,Khushab District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169e,17.26796345326964,Lahore District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000169f,19.170689584496102,Layyah District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a0,19.32253012012481,Lodhran District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a1,17.20502345396659,Mandi Bahauddin District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000016a2,17.25846599957624,Mianwali District,2,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
