system:index,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0,45895.86914702982,13507.517593754805,111033.08604350423,1162.5623502184862,188.1249650157054,1,7936.955315739051,2081.2876697863176,11121.097509385738,3545.7247817954453,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,46872.91279428968,16810.88708981116,122600.67369558303,232.50377748154818,92.70540949090461,2,9049.817410694806,1225.259256177778,4838.459766129019,3129.7153488369618,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,49046.38602781629,17884.42318442764,119596.80147630727,97.81066252293215,60.851925419496844,3,10361.877607523735,0.0666231318359375,5216.808252122269,2927.4169502797,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,61612.61873526309,14963.771907049962,112148.91054942044,40.511553052282494,28.872679582977174,4,9421.577555436983,0.059526294921875,4297.148362108926,2678.9718413341625,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,102124.37604369436,16363.204600770685,73838.23071734303,24.16899689668353,8.896339182333794,5,7170.039513621263,0.0609223095703125,2943.125490311528,2720.3400854533206,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,103389.93463920726,13603.021405422996,75036.99245203144,21.42958167462851,16.16719297300858,6,7501.16881983516,0.18092640722656253,2309.248508500658,3314.2991835285507,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45425.458000634746,9482.808666458555,19145.968852933744,328.36251084050673,1106.073357634014,7,1746.500874123685,171.32418412046954,9408.886879573045,8873.377356313078,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,39903.286312408905,18653.652814712674,66810.33342698574,860.434022400592,1983.4955922038384,8,7127.43166662643,114.45457873782152,16345.144718927257,11128.176770262126,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,44704.78082203467,42446.65640656507,81149.0650531595,571.0840881123985,458.1416828762422,9,8115.871046591494,2.538527315429687,22019.586187328267,5446.906975087174,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,41161.376531902155,33027.56306918282,105651.72063811762,273.7973198074298,124.63868699870177,10,9233.84107459769,0.05876590039062501,11895.570416457871,3823.876206577911,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,42119.48994811756,25660.168236857375,106771.34705274655,375.8811520154992,101.14630096821773,11,11326.037808752986,1.0272122011297489,14956.56829759034,3880.776700297436,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,37979.80563409947,19063.139129001604,114463.14614166031,479.9885376333117,91.19398946970732,12,9210.944055199772,389.4568233350262,19402.05632807965,4112.712071055112,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
