system:index,NDWI_mean,month,year,.geo
0,-0.31385604232460435,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.4542728921117653,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.4514589564151772,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.3432564952873469,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.2877497005015212,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.2777531711075906,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.3147381679230995,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.3611571570876749,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.4158999580653622,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.3903699394829721,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.3156681265428515,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.379804486145736,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
