system:index,month,rainfall_mean_mm_per_day,rainfall_total_mm,year,.geo
0,1,0.3870875803427719,11.99971498681126,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,0.2949799789851596,8.259439406450575,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,1.386869714188886,42.992961119870884,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,0.5177734554623301,15.533203668913135,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,1.2639597115987082,39.18275106565621,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,1.98419172713108,59.52575184611423,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,4.598343230043045,142.54864018510696,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,1.5547705105211753,48.197885863056335,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,1.6239485355096575,48.71845605776876,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,0.38049444549838196,11.795327814451127,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,0.21703221624931782,6.510966477922347,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,0.06476315271868759,2.00765773428413,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
