system:index,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
0,1,0.19805738557878527,0.18423626622209288,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,0.15249243885583824,0.1760081103065344,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,0.13915360863514117,0.1650181271415234,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,0.09699528065663558,0.13308231149817387,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,0.09639111973641061,0.12709738773160234,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,0.13397403282102718,0.15222476154190467,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,0.2798113574793085,0.264489584110947,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,0.2734911689395128,0.2875750193088086,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,0.1519850790501925,0.1999917251109494,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,0.10816759602065301,0.1548479770954942,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,0.13943733876643044,0.16188427637649244,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,0.11235951626689929,0.15345580298876987,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
