system:index,month,temp_max_c,temp_mean_c,temp_min_c,year,.geo
0,1,22.39667089446971,11.843658421739867,3.963460225036192,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,26.771594506548766,15.484027634001029,5.855751636900043,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3,33.902071342298996,20.606759025289467,5.062254729302013,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4,36.95710013902468,25.73145204035123,15.253861640531804,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5,45.52346232910429,33.465085677624444,15.664835027812254,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6,44.620615036618915,35.27868679457805,24.467554049697956,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7,42.72704922645343,34.45634280780026,26.70364517559315,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8,37.216462216126594,29.899619343792985,24.37695677387751,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9,38.79413979900422,30.68264208267319,23.905611444484876,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10,37.89296819980072,27.927099012568778,19.058248145528136,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11,33.25868784943045,21.84627548290015,12.029919015622772,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12,24.99279950581137,13.877644583010886,4.7890466114424814,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
