epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,elapsed_sec
1,2.242032,0.319928,1.646241,0.680982,0.616471,0.0001,1.3
2,1.534082,0.622967,1.181441,0.786245,0.753517,9.758e-05,1.1
3,1.195236,0.718419,0.974606,0.810462,0.783936,9.055e-05,1.1
4,1.018044,0.755866,0.847019,0.82919,0.811767,7.96e-05,1.1
5,0.916587,0.777393,0.767484,0.842105,0.824421,6.58e-05,1.1
6,0.853581,0.788953,0.729172,0.845657,0.823957,5.05e-05,1.1
7,0.808881,0.798228,0.698428,0.847917,0.828548,3.52e-05,1.0
8,0.781547,0.805219,0.681002,0.852115,0.833126,2.14e-05,1.1
9,0.771647,0.804527,0.675888,0.853084,0.831929,1.045e-05,1.0
10,0.764992,0.807365,0.672402,0.853407,0.83317,3.42e-06,1.1
