date,year,month,season,NDVI_mean,NDWI_mean,rainfall_mean_mm_per_day,rainfall_total_mm,temp_max_c,temp_mean_c,temp_min_c,soil_moisture_0_7cm,soil_moisture_7_28cm,bare_km2,built_km2,crops_km2,flooded_vegetation_km2,grass_km2,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,ndvi_change_monthly,ndwi_change_monthly,soil_moisture_change,rainfall_anomaly,temperature_anomaly,landcover_total_km2,coverage_quality,data_quality_flag,year_to_date
2024-01-01,2024,1,Winter,0.29186979611100544,-0.31385604232460435,0.2637743185485696,8.177003870879775,22.39667089446971,11.843658421739867,3.963460225036192,0.10655440597622787,0.1415397441393874,24615.11883901764,4718.408616976686,44213.00845415299,305.74086740473325,214.00952223289204,6232.393751314888,7144.923099823814,11469.469176670465,1768.93462970819,,,,0.810,-0.890,100682.0,poor,ok,complete
2024-02-01,2024,2,Winter,0.43832325723994575,-0.4542728921117653,0.6156377258462586,17.85349405257443,26.771594506548766,15.484027634001029,5.855751636900043,0.14461955543026903,0.15798841485904497,40600.796416799705,15623.195921760662,127428.3799922976,395.5825759034777,60.07122931514252,11154.370472721163,14.45429479980471,6618.174716107314,3124.120981823972,0.146453,-0.140417,0.038065,-4.853,-0.882,205019.1,good,ok,complete
2024-03-01,2024,3,Spring,0.42700943940132285,-0.4514589564151772,1.1210025658744924,34.75107953497418,33.902071342298996,20.606759025289467,5.062254729302013,0.14853488675375176,0.16282590398184285,44700.06537549526,17438.85694329932,120246.21746912668,180.55742305293361,76.51628526830572,14602.067131862059,0.0585840595703125,5073.424049400976,2874.679448004605,-0.011314,0.002814,0.003915,12.107,-0.673,205192.4,good,ok,complete
2024-04-01,2024,4,Spring,0.269147948285985,-0.3432564952873469,0.9817320758410142,29.45196227435133,36.95710013902468,25.73145204035123,15.253861640531804,0.1484412505622245,0.1616379846736788,54811.38878746924,18330.28615874314,108368.93506729825,141.48700274146387,162.2596922423101,14793.25122352499,0.10950102832031253,5423.929069971248,3160.5888003826467,-0.157861,0.108202,-0.000094,10.591,-2.296,205192.2,good,ok,complete
2024-05-01,2024,5,Spring,0.20467680709786876,-0.2877497005015212,0.2794538184371417,8.66306836565106,45.52346232910429,33.465085677624444,15.664835027812254,0.1097864039559484,0.14524088437473742,78354.76052550928,18911.958606071505,88083.94325541751,81.28043303790253,53.60687824626608,12124.644726399165,0.1983397119140625,3943.463118414626,3638.5868267466585,-0.064471,0.055507,-0.038655,-4.155,0.048,205192.4,good,ok,complete
2024-06-01,2024,6,Summer,0.20734895846450813,-0.2777531711075906,0.7107200070472514,21.32160021304361,44.620615036618915,35.27868679457805,24.467554049697956,0.10406255734387387,0.13032305737177552,102397.92572636822,21012.735175010275,63825.76223869561,154.56839442878402,42.665942474165114,8695.482022098602,0.25715165527343753,3668.531199401614,5394.514859438811,0.002672,0.009997,-0.005724,-9.606,0.194,205192.4,good,ok,complete
2024-07-01,2024,7,Summer,0.27808881592841533,-0.3147381679230995,3.9716706293562574,123.12178958793292,42.72704922645343,34.45634280780026,26.70364517559315,0.15012727206618262,0.15560622232772242,82680.67693281079,20839.1238428771,43241.903588658846,542.483649485929,528.8045665581533,7717.421699317228,709.5704208463471,20836.622476341887,17716.43087518342,0.070740,-0.036985,0.046065,-24.178,1.240,194813.0,moderate,ok,complete
2024-08-01,2024,8,Summer,0.37009860859075067,-0.3611571570876749,5.6781946907737995,176.024035393809,37.216462216126594,29.899619343792985,24.37695677387751,0.28367129420419246,0.2712712367365708,46401.49942640632,16393.153685678004,50868.23414211464,363.6762573679545,788.244644208203,4986.820053707981,131.8347853059628,12464.120706188185,8768.402133086202,0.092010,-0.046419,0.133544,22.691,-0.614,141166.0,poor,ok,complete
2024-09-01,2024,9,Summer,0.4152639112960893,-0.4158999580653622,1.3891039958501665,41.67311987409469,38.79413979900422,30.68264208267319,23.905611444484876,0.19699649882902082,0.2388355253263948,42233.91648465172,37258.40428150061,85781.67107215516,628.4817734950334,543.5423146682953,12771.510335182755,0.8118466123046875,20301.477040172136,5641.359889813189,0.045165,-0.054743,-0.086675,-5.121,0.463,205161.2,good,ok,complete
2024-10-01,2024,10,Autumn,0.34318583956048976,-0.3903699394829721,0.1702262708661514,5.2770143946150485,37.89296819980072,27.927099012568778,19.058248145528136,0.11834875358561193,0.1605011279233789,43497.16342319153,40666.96386128298,89643.50231953793,362.1001574114003,338.22274928883286,10907.444783311596,0.04214052734375,15674.926445047086,4102.076829946601,-0.072078,0.025530,-0.078648,-2.647,1.215,205192.4,good,ok,complete
2024-11-01,2024,11,Autumn,0.25705652275649843,-0.3156681265428515,0.029142912311318655,0.8742873685476952,33.25868784943045,21.84627548290015,12.029919015622772,0.1178334205488905,0.14802406716618757,77758.32108786744,27758.410268675514,67184.69772322313,628.9782498652277,45.280461640571396,6441.398908580606,808.2285512363011,19353.454893792383,5213.672564686481,-0.086129,0.074702,-0.000515,-0.685,1.547,205192.4,good,ok,complete
2024-12-01,2024,12,Winter,0.32959212276197153,-0.379804486145736,0.0623671617254519,1.9333820129129233,24.99279950581137,13.877644583010886,4.7890466114424814,0.11485719663198152,0.14422115217933043,35487.07726776669,14869.818169277809,118167.5840952301,268.1264348759935,141.32830488128835,12099.8822321747,3320.5663823362615,16345.384344139155,4240.135347536116,0.072536,-0.064136,-0.002976,-2.487,-0.773,204939.9,good,ok,complete
2025-01-01,2025,1,Winter,0.40187822803360324,-0.42774597212072224,0.21150892050762168,6.5567765338806945,24.23502172875313,13.624280530767452,4.638331872072917,0.1128664653848398,0.14279268568368675,35363.41612193092,15101.39299233429,123950.84472158182,452.1696727937668,176.2882586413565,11768.04553474644,285.92636548641934,14576.4827134534,3435.91050710672,0.072286,-0.047941,-0.001991,-0.810,0.890,205110.5,good,ok,complete
2025-02-01,2025,2,Winter,0.43806594132973403,-0.4658778285761947,0.9842596124004486,27.559269138974578,27.362282053541236,17.247856035555678,6.335344046325705,0.1313926084686262,0.14390237475267664,38569.50894643611,15592.764748793728,125189.15254875744,240.0024615716634,105.04308372717907,14213.308596672407,14.460225779737247,8043.320941864418,2934.7214355017218,0.036188,-0.038132,0.018526,4.853,0.882,204902.3,good,ok,complete
2025-03-01,2025,3,Spring,0.4178599733037536,-0.4481940110947348,0.3398903430770606,10.536600630405434,34.55880033978499,21.95366783776343,8.342990491521645,0.14159703468706722,0.16598923621714873,45822.32155972141,16177.979961156663,119145.83596723274,181.39924486456434,158.1225689436505,15765.5983473822,0.21929036621093748,5256.041823913493,2679.4370853990313,-0.020206,0.017684,0.010204,-12.107,0.673,205187.0,good,ok,complete
2025-04-01,2025,4,Spring,0.25208906439761963,-0.33847648948094305,0.27565507769153563,8.269652327276567,42.25205391902239,30.323775384602726,15.918910836869337,0.10395349600960493,0.13717878191929597,58195.668387731945,15749.78904310676,111424.58926880168,69.43137272179881,62.212990670802775,12899.400767204033,0.051004203124999994,4230.458849047635,2560.84102605476,-0.165771,0.109718,-0.037644,-10.591,2.296,205192.4,good,ok,complete
2025-05-01,2025,5,Spring,0.19142275926985977,-0.2761792495189306,0.5475047925125178,16.972648569614897,44.836187721014014,33.369757317041476,22.77889661587704,0.1076525628045312,0.1321774202950016,111396.32415600559,28299.978311302348,50217.03888224804,66.79607257624018,21.821586377680763,8313.804915771512,0.18222532617187495,3809.071737078247,3067.424822871594,-0.060666,0.062297,0.003699,4.155,-0.048,205192.4,good,ok,complete
2025-06-01,2025,6,Summer,0.2100214283340477,-0.2836459401747768,1.3511244393128077,40.53373319535974,45.40465254325659,34.890113282846194,24.486873615643148,0.11483241653786147,0.1369054313804681,107915.95543804401,24746.302662101672,57277.43837789198,113.31347053216955,47.978092431050854,7162.9876074143685,0.5480228564453125,4052.205211005512,3875.7138272927673,0.018599,-0.007467,0.007180,9.606,-0.194,205192.4,good,ok,complete
