record_id,price_date,source_displayed_date,province,district,market_name,market_id_or_source_label,commodity_name,commodity_id,variety,min_price_raw,max_price_raw,fqp_price_raw,quantity_raw,unit_raw,min_price_pkr,max_price_pkr,fqp_price_pkr,quantity,unit,source_name,source_url,retrieved_at,parser_version,data_status,validation_status,source_row_text,source_row_hash,source_table_header_text
amis_1_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Wheat,1,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=1,2026-09-01T22:12:17.400439+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_3_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Rice Basmati Super (New),3,Standard,30500,30500,30500,-,Rs/100Kg,30500.0,30500.0,30500.0,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=3,2026-09-01T22:12:17.561315+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:30500|Max:30500|FQP:30500|Qty:-,3d8b78a59f690274,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_4_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Rice (IRRI),4,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=4,2026-09-01T22:12:17.674053+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_9_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Gram Black Bareek,9,Standard,20000,20000,20000,-,Rs/100Kg,20000.0,20000.0,20000.0,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=9,2026-09-01T22:12:17.767517+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:20000|Max:20000|FQP:20000|Qty:-,a28af6c7878ce400,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_11_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Moong,11,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=11,2026-09-01T22:12:17.857079+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_17_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Maize,17,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=17,2026-09-01T22:12:17.955862+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_21_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Potato Fresh,21,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=21,2026-09-01T22:12:18.057358+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_22_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Potato Store,22,Standard,-,-,-,-,Rs/100Kg,,,,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=22,2026-09-01T22:12:18.178960+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:-|Max:-|FQP:-|Qty:-,214e8637ee8705a2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_23_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Onion,23,Standard,19500,21000,20250,-,Rs/100Kg,19500.0,21000.0,20250.0,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=23,2026-09-01T22:12:18.268838+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:19500|Max:21000|FQP:20250|Qty:-,aec94316a43c95f2,Dated:02-09-2026 Graph Min Max FQP Quantity
amis_26_2026-09-02_lahore,2026-09-02,02-09-2026,Punjab,Lahore District,Lahore,1,Tomato,26,Standard,14500,16000,15250,-,Rs/100Kg,14500.0,16000.0,15250.0,,Rs/100Kg,Official AMIS Punjab,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=26,2026-09-01T22:12:18.364060+00:00,amis_v1_phase7b,official_amis,validated,Market:Lahore|Min:14500|Max:16000|FQP:15250|Qty:-,50b06ffafede10d8,Dated:02-09-2026 Graph Min Max FQP Quantity
