year,month,district,crop_type,disease_scientific,disease_common,disease_urdu,severity_level,temp_avg,humidity_avg,rainfall_mm,gdd,bioclimatic_suitability,symptoms,recommended_chemical,dosage_per_acre
2020,2,Lahore,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,14.542399483529708,82.7592643854556,25.11822162405969,4.542399483529708,0.9778335082609452,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Faisalabad,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,17.98572555936868,81.08732345957618,43.020222490323576,7.985725559368682,0.98,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Multan,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,17.441149891036904,77.26202556514497,22.787023242088026,7.441149891036904,0.8388027506185618,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Gujranwala,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,13.000492434915557,79.10064422179606,39.97135119159114,3.0004924349155573,0.98,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Bahawalpur,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,15.467090716873281,76.69847858817228,42.60309013195227,5.467090716873281,0.98,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Sahiwal,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,14.692071128244049,73.34307018287923,35.354963167172805,4.692071128244049,0.9588647977072786,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Rawalpindi,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,17.30051462884646,78.0227865394448,38.208579206518664,7.300514628846461,0.9533641986724402,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Sheikhupura,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,14.714312500946228,78.11845683155298,31.72433180738992,4.714312500946228,0.98,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Sargodha,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,16.81142402155113,76.21850074897421,32.94781410753229,6.8114240215511295,0.9190807273839098,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,2,Rahim Yar Khan,Wheat,Puccinia striiformis,Wheat Yellow Rust,پیلی کنگی,High,14.998946102768247,81.5360720274843,28.862945323172042,4.998946102768247,0.98,Yellow pustules in linear stripes on leaves,Tilt 250 EC (Propiconazole),200-250 ml/acre
2020,3,Lahore,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,21.399023406418927,73.57037728424868,12.971413274383625,11.399023406418927,0.6081896039470236,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Faisalabad,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,21.5235730680728,71.03196664375552,23.150590306507635,11.5235730680728,0.6540286512524021,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Multan,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,21.42078437492076,73.39571899498274,28.975439568095183,11.42078437492076,0.7129185662936165,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Gujranwala,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,20.255676323789444,67.15704556202286,11.291105187868366,10.255676323789444,0.5864100836896665,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Bahawalpur,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,21.45922645479844,66.12194165852661,19.14101914668717,11.45922645479844,0.5946913950767894,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Sahiwal,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,20.21066485623349,71.40681942797383,29.826841576798657,10.210664856233489,0.7437878936604776,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Rawalpindi,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,20.227652875664724,68.91452196643446,11.911619944952465,10.227652875664724,0.6048009288733198,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Sheikhupura,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,19.24454950040297,68.73575243424325,24.420301924187676,9.244549500402972,0.7175448536909915,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Sargodha,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,20.271972969995588,74.08982468851761,23.952650219631757,10.271972969995588,0.7230373302692773,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,3,Rahim Yar Khan,Wheat,Puccinia triticina,Wheat Brown / Leaf Rust,بھوری کنگی,Medium,22.396118150889507,73.83492567053062,16.167805495865117,12.396118150889507,0.5979110658043817,Round brown pustules scattered on upper leaf surface,Nativo 75 WG (Tebuconazole+Trifloxystrobin),65 g/acre
2020,2,Lahore,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,14.575969650608414,68.09391938052572,9.467616151852386,4.575969650608414,0.3150904451687362,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Faisalabad,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,18.45524774616959,65.72879515520778,12.73387397257815,8.45524774616959,0.3850924440147908,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Multan,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,16.696395342406838,65.78304772857749,14.883383972876342,6.696395342406838,0.34867929260468183,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Gujranwala,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,16.16285341599119,65.9360390414678,11.896485208483481,6.16285341599119,0.3383220742407353,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Bahawalpur,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,16.788830239206998,62.622602451256775,17.81809146216346,6.788830239206998,0.3337651560925391,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Sahiwal,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,16.3770707228149,62.78698089559008,12.76097409747909,6.377070722814899,0.3264339132060656,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Rawalpindi,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,15.398982464764293,67.79174601330756,0.9697705075908001,5.398982464764293,0.3314044152745009,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
2020,2,Sheikhupura,Wheat,Ustilago tritici,Loose Smut,کال کنگی,Medium,14.828349931147656,59.443627997416414,5.791912084413098,4.828349931147656,0.2798256879754465,Ears converted into black powdery spore mass,Vitavax 200 WP,2.5 g/kg seed
