district,normalized_district,latitude,longitude,source,source_timestamp,is_master_district,notes
Lahore,Lahore District,31.5204,74.3587,project_prompt,2026-08-31T11:28:05+00:00,True,
Faisalabad,Faisalabad District,31.4504,73.1350,project_prompt,2026-08-31T11:28:05+00:00,True,
Multan,Multan District,30.1575,71.5249,project_prompt,2026-08-31T11:28:05+00:00,True,
Rawalpindi,Rawalpindi District,33.5651,73.0169,project_prompt,2026-08-31T11:28:05+00:00,True,
Gujranwala,Gujranwala District,32.1877,74.1945,project_prompt,2026-08-31T11:28:05+00:00,True,
Sargodha,Sargodha District,32.0836,72.6711,project_prompt,2026-08-31T11:28:05+00:00,True,
Bahawalpur,Bahawalpur District,29.3956,71.6836,project_prompt,2026-08-31T11:28:05+00:00,True,
Sialkot,Sialkot District,32.4945,74.5229,project_prompt,2026-08-31T11:28:05+00:00,True,
Sheikhupura,Sheikhupura District,31.7131,73.9783,project_prompt,2026-08-31T11:28:05+00:00,True,
Rahim Yar Khan,Rahim Yar Khan District,28.4212,70.2989,project_prompt,2026-08-31T11:28:05+00:00,True,
Jhang,Jhang District,31.2781,72.3317,project_prompt,2026-08-31T11:28:05+00:00,True,
Dera Ghazi Khan,Dera Ghazi Khan District,30.0489,70.6403,project_prompt,2026-08-31T11:28:05+00:00,True,
Gujrat,Gujrat District,32.5742,74.0754,project_prompt,2026-08-31T11:28:05+00:00,True,
Sahiwal,Sahiwal District,31.6701,73.1068,project_prompt,2026-08-31T11:28:05+00:00,True,
Okara,Okara District,30.8138,73.4534,project_prompt,2026-08-31T11:28:05+00:00,True,
Kasur,Kasur District,31.1156,74.4503,project_prompt,2026-08-31T11:28:05+00:00,True,
Bahawalnagar,Bahawalnagar District,29.9987,73.2536,project_prompt,2026-08-31T11:28:05+00:00,True,
Chiniot,Chiniot District,31.7200,72.9780,project_prompt,2026-08-31T11:28:05+00:00,False,annex unit
Attock,Attock District,33.7660,72.3609,project_prompt,2026-08-31T11:28:05+00:00,True,
Khanewal,Khanewal District,30.3017,71.9321,project_prompt,2026-08-31T11:28:05+00:00,True,
Muzaffargarh,Muzaffargarh District,30.0703,71.1933,project_prompt,2026-08-31T11:28:05+00:00,True,
Vehari,Vehari District,30.0419,72.3441,project_prompt,2026-08-31T11:28:05+00:00,True,
Jhelum,Jhelum District,32.9405,73.7276,project_prompt,2026-08-31T11:28:05+00:00,True,
Chakwal,Chakwal District,32.9328,72.8630,project_prompt,2026-08-31T11:28:05+00:00,True,
Mianwali,Mianwali District,32.5839,71.5370,project_prompt,2026-08-31T11:28:05+00:00,True,
Bhakkar,Bhakkar District,31.6333,71.0667,project_prompt,2026-08-31T11:28:05+00:00,True,
Layyah,Layyah District,30.9613,70.9390,project_prompt,2026-08-31T11:28:05+00:00,True,
Rajanpur,Rajanpur District,29.1044,70.3297,project_prompt,2026-08-31T11:28:05+00:00,True,
Pakpattan,Pakpattan District,30.3500,73.3833,project_prompt,2026-08-31T11:28:05+00:00,True,
Toba Tek Singh,Toba Tek Singh District,30.9667,72.4833,project_prompt,2026-08-31T11:28:05+00:00,True,
Hafizabad,Hafizabad District,32.0709,73.6880,project_prompt,2026-08-31T11:28:05+00:00,True,
Lodhran,Lodhran District,29.5339,71.6324,project_prompt,2026-08-31T11:28:05+00:00,True,
Nankana Sahib,Nankana Sahib District,31.4492,73.7124,project_prompt,2026-08-31T11:28:05+00:00,False,annex unit
Mandi Bahauddin,Mandi Bahauddin District,32.5861,73.4917,project_prompt,2026-08-31T11:28:05+00:00,True,
Narowal,Narowal District,32.1020,74.8730,project_prompt,2026-08-31T11:28:05+00:00,True,
Khushab,Khushab District,32.2952,72.3501,project_prompt,2026-08-31T11:28:05+00:00,True,
Kot Addu,Kot Addu District,30.4700,70.9667,project_prompt,2026-08-31T11:28:05+00:00,False,tehsil promoted
Murree,Murree District,33.9070,73.3903,project_prompt,2026-08-31T11:28:05+00:00,False,tehsil promoted
Talagang,Talagang District,32.9272,72.4158,project_prompt,2026-08-31T11:28:05+00:00,False,newly created district
Taunsa,Taunsa District,30.7036,70.6506,project_prompt,2026-08-31T11:28:05+00:00,False,tehsil promoted
Wazirabad,Wazirabad District,32.4431,74.1202,project_prompt,2026-08-31T11:28:05+00:00,False,tehsil promoted
