district,total_farm_area_acres,cultivated_area_acres,uncultivated_area_acres,total_cropped_area_acres,cultivated_share_pct,cropping_intensity_pct,wheat_area_acres,wheat_share_pct,rice_area_acres,rice_share_pct,cotton_area_acres,cotton_share_pct,sugarcane_area_acres,sugarcane_share_pct,maize_area_acres,maize_share_pct,fodder_area_acres,fodder_share_pct,orchard_area_acres,orchard_share_pct,kharif_total_acres,rabi_total_acres,data_source,source_year,processed_at
Attock District,984230.0,843449.0,140781.0,1039211.0,85.7,123.21,698180.0,67.0,558.0,0.0,4707.0,1.0,1249.0,0.0,39894.0,0.0,63792.0,6.0,12997.0,1.0,272332.0,753882.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Bahawalnagar District,1535656.0,1409155.0,126501.0,2667477.0,91.76,189.3,1056209.0,40.0,250341.0,9.0,687445.0,26.0,33432.0,1.0,60002.0,0.0,316042.0,12.0,11367.0,0.0,1288823.0,1367287.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Bahawalpur District,915307.0,899710.0,15597.0,1681103.0,98.3,186.85,691745.0,41.0,38922.0,2.0,527544.0,31.0,31096.0,2.0,164119.0,0.0,122704.0,7.0,17874.0,1.0,799611.0,863618.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Bhakkar District,1858588.0,1771229.0,87359.0,2595598.0,95.3,146.54,1105659.0,43.0,21171.0,1.0,49901.0,2.0,162519.0,6.0,2023.0,0.0,328845.0,13.0,64888.0,3.0,1014320.0,1516391.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Chakwal District,937938.0,822146.0,115792.0,894448.0,87.65,108.79,543041.0,61.0,0.0,0.0,811.0,0.0,269.0,0.0,871.0,0.0,42411.0,5.0,694.0,0.0,290386.0,603368.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Chiniot District,530923.0,512988.0,17934.0,825850.0,96.62,160.99,295229.0,36.0,106379.0,13.0,718.0,0.0,113876.0,14.0,33582.0,0.0,208714.0,25.0,1401.0,0.0,388340.0,436110.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Cholistan Area,284651.0,253545.0,31106.0,420665.0,89.07,165.91,215952.0,51.0,5258.0,1.0,160236.0,38.0,2599.0,1.0,111.0,0.0,21275.0,5.0,183.0,0.0,179557.0,240925.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Dera Ghazi Khan District,1154453.0,1037972.0,116480.0,1534650.0,89.91,147.85,825994.0,54.0,154325.0,10.0,132620.0,9.0,16032.0,1.0,1609.0,0.0,81031.0,5.0,1133.0,0.0,649993.0,883524.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Faisalabad District,1093554.0,1075477.0,18077.0,1713219.0,98.35,159.3,597277.0,35.0,93383.0,6.0,11693.0,1.0,230288.0,13.0,104058.0,0.0,316394.0,19.0,9253.0,1.0,832786.0,871179.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Gujranwala District,721454.0,711016.0,10438.0,1371824.0,98.55,192.94,595788.0,43.0,596834.0,44.0,24.0,0.0,675.0,0.0,4842.0,0.0,123079.0,9.0,477.0,0.0,685431.0,685915.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
