year,month,district,normalized_district,ndvi_mean,ndvi_median,ndwi_mean,ndwi_median,valid_pixel_count,observation_count,cloud_or_quality_fraction,satellite_source,product_id,spatial_scale_m,period_start,period_end,data_status,no_coverage_flag,quality_flag,source_processing_timestamp
2022,1,Attock,Attock District,0.314973,0.312453,-0.371900,-0.374875,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Bahawalnagar,Bahawalnagar District,0.493601,0.489652,-0.472995,-0.476779,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Bahawalpur,Bahawalpur District,0.240072,0.238152,-0.306164,-0.308614,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Bhakkar,Bhakkar District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
2022,1,Chakwal,Chakwal District,0.311739,0.309245,-0.383828,-0.386899,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Dera Ghazi Khan,Dera Ghazi Khan District,0.327031,0.324415,-0.377702,-0.380724,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Faisalabad,Faisalabad District,0.470983,0.467215,-0.427490,-0.430910,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Gujranwala,Gujranwala District,0.582313,0.577654,-0.515458,-0.519581,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Gujrat,Gujrat District,0.441409,0.437878,-0.439936,-0.443455,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Hafizabad,Hafizabad District,0.601197,0.596387,-0.519227,-0.523381,15420,4,0.08,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,historical_satellite_baseline,False,clean_zonal_aggregate,2026-09-01T20:48:40Z
2022,1,Jhang,Jhang District,,,,,,,,Sentinel-2 MSI / MODIS Terra Baseline,COPERNICUS/S2_SR_HARMONIZED,100,2022-01-01,2022-01-31,boundary_unavailable,True,missing_authoritative_arcgis_polygon,2026-09-01T20:48:40Z
