year,month,district,normalized_district,t2m_mean_c,rh2m_mean_percent,precip_total_mm,grid_points_used,polygon_point_count,fallback_point_count,no_coverage_flag,source_provider,source_files_covered
2022,1,Attock,Attock District,9.2477,71.5784,151.0000,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Bahawalnagar,Bahawalnagar District,13.6766,55.0922,114.0300,3,3,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Bahawalpur,Bahawalpur District,14.4875,50.0456,246.3000,8,8,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Bhakkar,Bhakkar District,7.8582,63.5887,2027.9100,21,0,21,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Chakwal,Chakwal District,9.6488,71.8784,394.1000,3,3,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Dera Ghazi Khan,Dera Ghazi Khan District,11.9650,54.5773,141.1200,4,4,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Faisalabad,Faisalabad District,12.7577,60.4471,146.5500,2,2,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Gujranwala,Gujranwala District,11.6810,73.7748,141.2000,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Gujrat,Gujrat District,,,,0,0,0,True,nasa_power_merra2,
2022,1,Hafizabad,Hafizabad District,11.7939,71.0935,126.5000,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Jhang,Jhang District,7.5070,66.6741,899.8500,7,0,7,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Jhelum,Jhelum District,11.3310,68.6910,172.5400,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Kasur,Kasur District,12.5216,64.5585,181.2300,2,2,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Khanewal,Khanewal District,13.3097,58.1690,38.7700,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Khushab,Khushab District,10.9818,65.4548,275.1200,3,3,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Lahore,Lahore District,11.9774,70.9313,119.5300,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Layyah,Layyah District,9.6974,57.1171,127.4400,3,0,3,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Lodhran,Lodhran District,,,,0,0,0,True,nasa_power_merra2,
2022,1,Mandi Bahauddin,Mandi Bahauddin District,11.5171,72.5010,149.7800,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Mianwali,Mianwali District,,,,0,0,0,True,nasa_power_merra2,
2022,1,Multan,Multan District,13.9452,55.7629,28.2800,1,1,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Muzaffargarh,Muzaffargarh District,14.0753,52.2245,178.8000,6,0,6,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Narowal,Narowal District,,,,0,0,0,True,nasa_power_merra2,
2022,1,Okara,Okara District,11.1564,62.9192,2617.8100,29,0,29,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Pakpattan,Pakpattan District,,,,0,0,0,True,nasa_power_merra2,
2022,1,Rahim Yar Khan,Rahim Yar Khan District,14.9439,48.5922,156.3900,5,5,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
2022,1,Rajanpur,Rajanpur District,13.4478,53.6787,100.7200,3,3,0,False,nasa_power_merra2,2022-PRECTOTCORR.json|2022-RH2M.json|2022-T2M.json
