district,total_cultivated_area_acres,irrigated_area_acres,unirrigated_area_acres,irrigation_coverage_pct,canal_only_acres,canal_only_pct,canal_and_tubewell_acres,canal_and_tubewell_pct,tubewell_only_acres,tubewell_only_pct,barani_rainfed_acres,barani_share_pct,sailaba_flood_acres,other_sources_acres,groundwater_reliance_pct,canal_surface_reliance_pct,primary_irrigation_mode,water_source_classification,provincial_annual_canal_withdrawals_maf,provincial_per_capita_water_m3_year,falkenmark_stress_category,data_source,source_year,processed_at
Attock District,843449.0,337297.0,469909.0,39.99,20261.0,6.01,9795.0,2.9,153261.0,45.44,466895.0,55.36,562.0,140146.0,46.89,7.46,Rainfed (Barani),Rainfed (Barani Dominant),53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Bahawalnagar District,1409155.0,1367537.0,11346.0,97.05,454116.0,33.21,704682.0,51.53,203841.0,14.91,10684.0,0.76,507.0,4823.0,40.67,58.97,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Bahawalpur District,899710.0,890414.0,67.0,98.97,354401.0,39.8,346030.0,38.86,189689.0,21.3,11.0,0.0,1.0,183.0,40.73,59.23,Canal (Surface Water),Surface Canal Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Bhakkar District,1771229.0,1533566.0,169807.0,86.58,224009.0,14.61,448410.0,29.24,830927.0,54.18,168752.0,9.53,1011.0,29392.0,68.8,29.23,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Chakwal District,822146.0,407514.0,345136.0,49.57,14558.0,3.57,14715.0,3.61,243143.0,59.66,344427.0,41.89,708.0,131712.0,61.47,5.38,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Chiniot District,512988.0,504243.0,294.0,98.3,33369.0,6.62,149090.0,29.57,321562.0,63.77,157.0,0.03,76.0,222.0,78.55,21.4,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Cholistan Area,253545.0,248519.0,205.0,98.02,136239.0,54.82,69788.0,28.08,42490.0,17.1,187.0,0.07,6.0,1.0,31.14,68.86,Canal (Surface Water),Surface Canal Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Dera Ghazi Khan District,1037972.0,968021.0,47316.0,93.26,95986.0,9.92,212548.0,21.96,328874.0,33.97,46458.0,4.48,767.0,330614.0,44.95,20.89,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Faisalabad District,1075477.0,1069336.0,316.0,99.43,333953.0,31.23,608270.0,56.88,124884.0,11.68,0.0,0.0,211.0,1940.0,40.12,59.67,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Gujranwala District,711016.0,708326.0,5.0,99.62,23414.0,3.31,248844.0,35.13,435630.0,61.5,0.0,0.0,0.0,394.0,79.07,20.87,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Gujrat District,542550.0,444562.0,68969.0,81.94,19466.0,4.38,23439.0,5.27,383197.0,86.2,66297.0,12.22,2074.0,17322.0,88.83,7.01,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Hafizabad District,444391.0,439566.0,2.0,98.91,12843.0,2.92,135411.0,30.81,289130.0,65.78,0.0,0.0,0.0,2182.0,81.18,18.32,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Jhang District,1199327.0,1177013.0,6877.0,98.14,59271.0,5.04,461242.0,39.19,647582.0,55.02,6533.0,0.54,311.0,8716.0,74.61,24.63,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Jhelum District,361345.0,224373.0,112155.0,62.09,12274.0,5.47,8677.0,3.87,147661.0,65.81,111516.0,30.86,346.0,55409.0,67.74,7.4,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Kasur District,752945.0,724703.0,145.0,96.25,151969.0,20.97,283669.0,39.14,288240.0,39.77,33.0,0.0,88.0,620.0,59.34,40.54,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Khanewal District,843405.0,836232.0,0.0,99.15,145096.0,17.35,638209.0,76.32,52859.0,6.32,0.0,0.0,0.0,68.0,44.48,55.51,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Khushab District,1016402.0,711362.0,255329.0,69.99,219901.0,30.91,120277.0,16.91,334169.0,46.98,253745.0,24.97,631.0,36651.0,55.43,39.37,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Lahore District,147875.0,131726.0,4.0,89.08,14022.0,10.64,24982.0,18.97,92699.0,70.37,0.0,0.0,0.0,23.0,79.86,20.13,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Layyah District,1137336.0,1087558.0,36120.0,95.62,65534.0,6.03,466244.0,42.87,549786.0,50.55,35413.0,3.11,675.0,5195.0,71.99,27.46,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Lodhran District,518016.0,515935.0,498.0,99.6,23190.0,4.49,418666.0,81.15,72154.0,13.99,0.0,0.0,452.0,1925.0,54.56,45.07,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Mandi Bahauddin District,549480.0,543849.0,122.0,98.98,36279.0,6.67,209313.0,38.49,296390.0,54.5,25.0,0.0,26.0,1320.0,73.74,25.91,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Mianwali District,675916.0,623903.0,31657.0,92.3,144679.0,23.19,97171.0,15.57,369040.0,59.15,31299.0,4.63,333.0,12963.0,66.94,30.98,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Multan District,764278.0,758437.0,236.0,99.24,77301.0,10.19,539475.0,71.13,141549.0,18.66,43.0,0.01,194.0,45.0,54.23,45.76,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
