adoption_notes,animal_count,animal_type,average_farm_size,barani_area,canal_and_tubewell_area,canal_area,central_pivot,crop_area,crop_name,crop_share,cultivated_area,diesel_lift_pump,diesel_tubewell,district,drip,electric_lift_pump,electric_tubewell,farm_count,implements_notes,irrigable_not_irrigated_area,irrigated_area,irrigation_method_notes,karez_area,lift_pump_area,lift_pump_count,loan_access,loan_amount_if_available,loan_source,notes,other_irrigation_area,other_power_lift_pump,other_power_tubewell,owner_area_percent,owner_cum_tenant_area_percent,owner_cum_tenant_farm_area,owner_cum_tenant_farms,owner_cum_tenant_farms_percent,owner_farm_area,owner_farms,owner_farms_percent,petrol_lift_pump,petrol_tubewell,sailaba_area,season,solar_lift_pump,solar_tubewell,source_table,source_year,spring_rod_kohi_area,sprinkler,sprinkler_drip_pivot_area,tank_bandat_area,tenant_area_percent,tenant_farm_area,tenant_farms,tenant_farms_percent,total_cropped_area,total_cultivated_area,total_farm_area,total_farms,tractor_count,tractors_owned_cooperative,tractors_owned_individually,tractors_owned_jointly,tubewell_and_lift_pump_total,tubewell_area,tubewell_count,tunnel_area_owner,tunnel_area_owner_cum_tenant,tunnel_area_owner_cum_tenant_percent,tunnel_area_owner_percent,tunnel_area_tenant,tunnel_area_tenant_percent,tunnel_farming,tunnel_farming_area,tunnel_farming_percent_of_farms,uncultivated_area,unirrigated_area,unspecified_irrigation_area
,,,6.5,,,,,,,,512988,,,Chiniot District,,,,81723,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 1.0, 1.1",2024,,,,,,,,,,,530923,,,,,,,,,,,,,,,,,,17934,,
,,,7.7,,,,,,,,462575,,,Nankana Sahib District,,,,61049,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 1.0, 1.1",2024,,,,,,,,,,,472396,,,,,,,,,,,,,,,,,,9821,,
,,,14.6,,,,,,,,253545,,,Cholistan Area,,,,19536,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,,,,"Tables 1.0, 1.1",2024,,,,,,,,,,,284651,,,,,,,,,,,,,,,,,,31106,,
,,,,,,,,,,,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,77,16,83094,7388,9,410715,67434,83,,,,,,,Table 1.3,2024,,,,,7,37113,6900,8,,,530923,81723,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Nankana Sahib District,,,,,,,,,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,65,24,111026,6340,10,309138,48721,80,,,,,,,Table 1.3,2024,,,,,11,52232,5988,10,,,472396,61049,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Cholistan Area,,,,,,,,,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,73,13,35931,848,4,208286,17284,89,,,,,,,Table 1.3,2024,,,,,14,40434,1405,7,,,284651,19536,,,,,,,,,,,,,,,,,,,
,,,,157,149090,33369,,,,,,,,Chiniot District,,,,,,61,504243,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value",222,,,,,,,,,,,,,76,,,,Table 4.2,2024,,,,189,,,,,,512988,,,,,,,,321562,,,,,,,,,,,,294,33
,,,,605,220650,25792,,,,,,,,Nankana Sahib District,,,,,,,460475,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,,,,,,,"Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value",1690,,,,,,,,,,,,,47,,,,Table 4.2,2024,,,,1208,,,,,,462575,,,,,,,,212342,,,,,,,,,,,,652,482
,,,,187,69788,136239,,,,,,,,Cholistan Area,,,,,,12,248519,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,,,,,,,"Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",1,,,,,,,,,,,,,6,,,,Table 4.2,2024,,,,,,,,,,253545,,,,,,,,42490,,,,,,,,,,,,205,1
,,,,,,,,295229,Wheat,36,,,,Chiniot District,,,,,,,,,,,,,,,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value",,,,,,,,,,,,,,,Rabi,,,"Tables 6.5, 1.0",2024,,,,,,,,,825850,,,,,,,,,,,,,,,,,,,,,,
