district,crop_name,crop_area,crop_share,season,total_cropped_area,source_year,source_table,notes
Bahawalnagar District,Wheat,1056209,40,Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Rice/Paddy,250341,9,Kharif,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Maize (Rabi),,1,Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Maize (Kharif),,1,Kharif,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Jowar/Bajra/Gram,,1,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Barley,,0,Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Cotton,687445,26,Kharif,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Sugarcane,33432,1,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Tobacco,,,Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Oilseeds,,4,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Pulses,,0,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Fodders,316042,12,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Vegetables,,0,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Orchards,11367,0,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Other Crops,,4,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Maize (Total),60002,,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Kharif Crops (Total),1288823,,Kharif,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Rabi Crops (Total),1367287,,Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Total Cropped Area,2667477,,Kharif+Rabi,2667477,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Wheat,691745,41,Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Rice/Paddy,38922,2,Kharif,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Maize (Rabi),,4,Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Maize (Kharif),,6,Kharif,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Jowar/Bajra/Gram,,0,Kharif+Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Barley,,,Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Cotton,527544,31,Kharif,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Sugarcane,31096,2,Kharif+Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Tobacco,,,Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Oilseeds,,3,Kharif+Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Pulses,,0,Kharif+Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Fodders,122704,7,Kharif+Rabi,1681103,2024,"Tables 6.5, 1.0","crop_share = percent of total cropped area (Table 6.5), rounded to integer in source; crop_area reported only for major crops (Table 1.0); season assigned per standard Punjab crop calendar, not a census-reported field; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
