district,farm_count,total_farm_area,cultivated_area,average_farm_size,uncultivated_area,source_year,source_table,notes
Bahawalnagar District,173873,1535656,1409155,8.8,126501,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,179899,915307,899710,5.1,15597,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,269179,1347468,1316798,5.0,30670,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,224784,1154453,1037972,5.1,116480,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,150493,1195711,1137336,7.9,58375,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Muzaffargarh District,312949,1549063,1508512,4.9,40551,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rajanpur District,136113,981090,942762,7.2,38328,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chiniot District,81723,530923,512988,6.5,17934,2024,"Tables 1.0, 1.1","Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Faisalabad District,227004,1093554,1075477,4.8,18077,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhang District,230973,1234973,1199327,5.3,35646,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Toba Tek Singh District,106383,647587,642253,6.1,5334,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujranwala District,109388,721454,711016,6.6,10438,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujrat District,136249,583790,542550,4.3,41240,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Hafizabad District,45765,449046,444391,9.8,4655,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Mandi Bahauddin District,74546,556154,549480,7.5,6674,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Narowal District,93457,429821,426376,4.6,3445,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sialkot District,138619,594362,587725,4.3,6637,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Kasur District,115755,759871,752945,6.6,6926,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Lahore District,94410,150048,147875,1.6,2173,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Nankana Sahib District,61049,472396,462575,7.7,9821,2024,"Tables 1.0, 1.1","Nankana Sahib District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sheikhupura District,88647,718953,713371,8.1,5581,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Khanewal District,162844,852296,843405,5.2,8891,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Lodhran District,108989,521056,518016,4.8,3040,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Multan District,164679,773599,764278,4.7,9322,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Vehari District,138565,906456,897350,6.5,9106,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Attock District,117549,984230,843449,8.4,140781,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chakwal District,142121,937938,822146,6.6,115792,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhelum District,66956,400080,361345,6.0,38735,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rawalpindi District,158208,687689,594765,4.3,92924,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Okara District,136365,886180,875836,6.5,10344,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Pakpattan District,99933,653713,648314,6.5,5399,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sahiwal District,139556,636827,629429,4.6,7397,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bhakkar District,165761,1858588,1771229,11.2,87359,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Khushab District,138415,1148069,1016402,8.3,131667,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Mianwali District,72919,727853,675916,10.0,51937,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Sargodha District,166582,1159067,1108835,7.0,50232,2024,"Tables 1.0, 1.1","Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Cholistan Area,19536,284651,253545,14.6,31106,2024,"Tables 1.0, 1.1","Cholistan Area is a separate non-district reporting unit within Bahawalpur Division; not present in district_master_clean.csv; Farms are agricultural holdings, not farmer or household counts; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
