district,total_cultivated_area,irrigated_area,unirrigated_area,canal_area,canal_and_tubewell_area,tubewell_area,tank_bandat_area,spring_rod_kohi_area,karez_area,sprinkler_drip_pivot_area,unspecified_irrigation_area,lift_pump_area,other_irrigation_area,sailaba_area,barani_area,irrigable_not_irrigated_area,irrigation_method_notes,source_year,source_table,notes
Bahawalnagar District,1409155,1367537,11346,454116,704682,203841,848,,,75,3975,,4823,507,10684,156,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,899710,890414,67,354401,346030,189689,30,,,111,153,,183,1,11,54,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,1316798,1308330,111,262876,810751,232742,1554,,,276,132,,1686,,111,,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,1037972,968021,47316,95986,212548,328874,69678,240182,,,20754,,330614,767,46458,92,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,1137336,1087558,36120,65534,466244,549786,4836,,,800,359,,5195,675,35413,31,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Muzaffargarh District,1508512,1496777,463,50520,804825,640500,409,,,337,187,,596,230,177,56,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rajanpur District,942762,903233,17748,197394,427133,274080,981,3481,,,165,,4627,29,17429,290,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chiniot District,512988,504243,294,33369,149090,321562,189,,,,33,,222,76,157,61,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Faisalabad District,1075477,1069336,316,333953,608270,124884,226,,,290,1714,,1940,211,,104,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhang District,1199327,1177013,6877,59271,461242,647582,595,,,201,8121,,8716,311,6533,33,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Toba Tek Singh District,642253,633541,54,181701,357299,94140,40,71,,44,247,,358,8,15,31,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujranwala District,711016,708326,5,23414,248844,435630,339,,,43,55,,394,,,5,Modes per Table 4.2: canal only; canal and tubewell; tubewell only; tank/bandat (small dams); spring or hill ravines (rod-kohi); karez; sprinkler/drip/central pivot (published only as one combined column); unspecified sources. Unirrigated = sailaba (flood) + barani (rain-fed) + area with irrigation facility not irrigated. lift_pump_area is not reported at area level in the census; the tubewell_area column covers irrigation by tubewell or pump (census questionnaire Part-4). other_irrigation_area is derived: sum of tank/bandat + spring/rod-kohi + karez + unspecified sources.,2024,Table 4.2,"Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
