district,total_farms,owner_farms,owner_cum_tenant_farms,tenant_farms,owner_farms_percent,owner_cum_tenant_farms_percent,tenant_farms_percent,total_farm_area,owner_farm_area,owner_cum_tenant_farm_area,tenant_farm_area,owner_area_percent,owner_cum_tenant_area_percent,tenant_area_percent,source_year,source_table,notes
Bahawalnagar District,173873,126972,20677,26224,73,12,15,1535656,917277,384219,234159,60,25,15,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,179899,161238,9580,9081,90,5,5,915307,718512,134893,61902,79,15,7,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,269179,227648,24718,16813,85,9,6,1347468,933507,295967,117994,69,22,9,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,224784,208857,11771,4156,93,5,2,1154453,1011337,119080,24036,88,10,2,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,150493,128353,13101,9039,85,9,6,1195711,864056,253585,78070,72,21,7,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Muzaffargarh District,312949,295845,9387,7717,95,3,3,1549063,1350573,133465,65025,87,9,4,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rajanpur District,136113,128117,4922,3074,94,4,2,981090,851163,89526,40401,87,9,4,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Chiniot District,81723,67434,7388,6900,83,9,8,530923,410715,83094,37113,77,16,7,2024,Table 1.3,"Chiniot District is not present in district_master_clean.csv (remote-sensing master covers 34 districts); Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Faisalabad District,227004,174654,30398,21951,77,13,10,1093554,623337,359512,110705,57,33,10,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Jhang District,230973,196429,22361,12184,85,10,5,1234973,954920,221797,58255,77,18,5,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Toba Tek Singh District,106383,88655,9626,8102,83,9,8,647587,457990,131782,57815,71,20,9,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujranwala District,109388,94779,8607,6003,87,8,6,721454,550236,133093,38124,76,18,5,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Gujrat District,136249,122458,7358,6432,90,5,5,583790,477394,69312,37084,82,12,6,2024,Table 1.3,"Percentages are of farms (cols 6-8) and of farm area (cols 14-16), as reported; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
