district,animal_type,animal_count,source_year,source_table,notes
Bahawalnagar District,Cattle,890868,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Buffaloes,1050194,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Sheep,342258,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Goats,1123685,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Camels,4902,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Horses,2460,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Mules,2260,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Asses,93605,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalnagar District,Yak/Dzo/Dzomo,,2024,Table 7.1,"Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Cattle,843767,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Buffaloes,791665,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Sheep,190843,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Goats,1202666,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Camels,3297,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Horses,2848,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Mules,2003,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Asses,43813,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Bahawalpur District,Yak/Dzo/Dzomo,,2024,Table 7.1,"Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Cattle,692971,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Buffaloes,1106234,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Sheep,197015,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Goats,1557410,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Camels,9888,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Horses,534,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Mules,4546,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Asses,86323,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Rahim Yar Khan District,Yak/Dzo/Dzomo,,2024,Table 7.1,"Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Cattle,1523405,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Buffaloes,320962,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Sheep,5099910,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Goats,6293816,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Camels,32076,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Horses,6109,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Mules,710,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Asses,71137,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Dera Ghazi Khan District,Yak/Dzo/Dzomo,,2024,Table 7.1,"Head count of animals on census day; ""-"": no value reported in source; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Cattle,1067314,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Buffaloes,522919,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Sheep,866810,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Goats,1129233,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Camels,21797,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Horses,5150,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Mules,4220,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
Layyah District,Asses,53997,2024,Table 7.1,"Head count of animals on census day; Report footnote: ""0"" = value less than 0.5; ""-"" = no value"
