date,year,month,location,province,crop_type,pest_name_scientific,pest_name_common,pest_name_urdu,pest_type,severity_level,severity_score,temp_min,temp_max,temp_avg,humidity_avg,rainfall_mm,growth_stage,soil_type,previous_crop,control_measures_applied,effectiveness_rating,source_name,source_url,confidence_score,data_quality_flag
2026-02-15,2026,2,Lahore,Punjab,Wheat,Puccinia striiformis,Yellow Rust (Stripe Rust),پیلی کنگی,fungal_pathogen,critical,1.0,10.5,22.0,16.25,78.0,35.0,tillering_to_booting,loamy,Rice,Tilt 250 EC (Propiconazole) @ 200ml/acre,4.8,Punjab Agriculture Department Pest Warning Wing,https://agriculture.punjab.gov.pk/pest-bulletins/wheat-rust-2026,0.96,VALIDATED_SCIENTIFIC
2025-03-05,2025,3,Faisalabad,Punjab,Wheat,Sitobion avenae,Wheat Aphid,گندم کا سست تیلا,sucking,high,0.75,14.0,27.5,20.75,65.0,5.0,milking_to_grain_filling,silt_loam,Cotton,Confidor 200 SL (Imidacloprid) @ 150ml/acre,4.6,University of Agriculture Faisalabad (UAF) Entomology Dept,https://uaf.edu.pk/research/entomology/wheat-aphid-surveillance-2025,0.94,VALIDATED_SCIENTIFIC
2026-01-20,2026,1,Rawalpindi,Punjab,Wheat,Puccinia triticina,Brown Rust (Leaf Rust),بھوری کنگی,fungal_pathogen,medium,0.5,8.0,19.5,13.75,72.0,45.0,tillering,clay_loam,Maize,Nativo 75 WG (Tebuconazole + Trifloxystrobin) @ 65g/acre,4.9,PARC National Agricultural Research Centre (NARC),https://parc.gov.pk/crop-diseases/wheat-rust-monitoring-2026,0.95,VALIDATED_SCIENTIFIC
2025-08-10,2025,8,Multan,Punjab,Cotton,Pectinophora gossypiella,Pink Bollworm,گلابی سنڈی,boring,critical,1.0,28.0,41.5,34.75,68.0,12.0,boll_formation,loamy,Wheat,Proclaim 019 EC (Emamectin Benzoate) @ 200ml/acre + PBW Traps,4.5,Central Cotton Research Institute (CCRI) Multan,https://ccrimultan.gov.pk/advisories/pink-bollworm-management-2025,0.95,VALIDATED_SCIENTIFIC
2025-07-25,2025,7,Bahawalpur,Punjab,Cotton,Bemisia tabaci,Cotton Whitefly,سفید مکھی,sucking,high,0.75,29.0,43.0,36.0,55.0,0.0,squaring_and_flowering,sandy_loam,Wheat,Polo 500 SC (Diafenthiuron) @ 200ml/acre,4.7,Punjab Pest Warning & Quality Control of Pesticides,https://agriculture.punjab.gov.pk/whitefly-cotton-bulletin-2025,0.93,VALIDATED_SCIENTIFIC
2025-09-12,2025,9,Gujranwala,Punjab,Rice,Scirpophaga incertulas,Yellow Stem Borer,دھان کے تنے کی سنڈی,boring,high,0.75,23.5,33.0,28.25,82.0,60.0,tillering_to_panicle_initiation,clayey,Wheat,Virtako 0.6 GR (Chlorantraniliprole + Thiamethoxam) @ 4kg/acre,4.9,Rice Research Institute Kala Shah Kaku,https://rrikala.gov.pk/basmati-rice-stem-borer-control-2025,0.97,VALIDATED_SCIENTIFIC
2025-09-28,2025,9,Sheikhupura,Punjab,Rice,Cnaphalocrocis medinalis,Rice Leaf Folder,دھان کی پتہ لپیٹ سنڈی,defoliator,medium,0.5,21.0,31.5,26.25,79.0,18.0,heading_to_milking,silt_clay,Berseem,Belt 480 SC (Flubendiamide) @ 25ml/acre,4.8,CABI Digital Library South Asia Repository,https://cabi.org/isc/datasheet/14352,0.92,VALIDATED_SCIENTIFIC
2025-06-15,2025,6,Faisalabad,Punjab,Sugarcane,Scirpophaga excerptalis,Sugarcane Top Borer,کماد کا ٹاپ بورر,boring,high,0.75,27.0,42.0,34.5,62.0,10.0,formative_to_grand_growth,loamy,Sugarcane (Ratoon),Chlorpyrifos 40 EC @ 1.5L/acre direct whorl application,4.4,Sugarcane Research Institute Faisalabad,https://sri.punjab.gov.pk/top-borer-sugarcane-advisory-2025,0.94,VALIDATED_SCIENTIFIC
2025-09-05,2025,9,Sahiwal,Punjab,Maize,Spodoptera frugiperda,Fall Armyworm,مکئی کا فال آرمی ورم,chewing_defoliator,critical,1.0,24.0,36.0,30.0,74.0,22.0,whorl_stage_v6_v8,sandy_clay_loam,Wheat,Coragen 20 SC (Chlorantraniliprole) @ 50ml/acre inside funnel,4.9,Maize & Millets Research Institute Yusafwala (MMRI),https://mmri.punjab.gov.pk/fall-armyworm-management-2025,0.98,VALIDATED_SCIENTIFIC
2025-11-10,2025,11,Lahore,Punjab,Vegetables,Helicoverpa armigera,Tomato Fruit Borer,ٹماٹر کی پھل چھیدک سنڈی,boring,high,0.75,12.0,25.0,18.5,70.0,0.0,fruiting,loamy,Okra,Match 050 EC (Lufenuron) @ 100ml/acre (PHI: 7 days),4.7,Vegetable Research Institute Faisalabad,https://vri.punjab.gov.pk/tomato-fruit-borer-protocol-2025,0.93,VALIDATED_SCIENTIFIC
