true_class,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,140,6,1,0,1,0,0,1,0,0,0,0,0,0,0
Pepper__bell___healthy,4,214,0,0,1,0,0,1,0,0,0,0,1,0,0
Potato___Early_blight,0,0,144,2,0,0,2,0,0,2,0,0,0,0,0
Potato___Late_blight,0,0,3,133,2,1,5,5,0,0,0,1,0,0,0
Potato___healthy,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0
Tomato_Bacterial_spot,0,0,0,0,0,295,3,6,1,3,0,2,8,0,1
Tomato_Early_blight,2,0,0,1,0,12,91,12,0,13,2,12,4,0,1
Tomato_Late_blight,2,0,0,12,2,3,43,198,8,8,2,6,2,0,1
Tomato_Leaf_Mold,0,0,0,1,0,0,4,0,115,9,5,1,1,6,1
Tomato_Septoria_leaf_spot,2,2,11,1,1,17,7,5,8,193,2,7,1,7,1
Tomato_Spider_mites_Two_spotted_spider_mite,0,2,0,1,3,4,0,0,3,0,214,9,2,10,4
Tomato__Target_Spot,0,1,0,0,2,5,1,0,1,5,19,159,0,4,13
Tomato__Tomato_YellowLeaf__Curl_Virus,4,1,1,0,0,8,3,0,0,2,5,1,450,6,0
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,4,2,1,0,0,49,0
Tomato_healthy,0,1,0,0,0,2,0,0,0,0,6,12,0,1,216
