true_class,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,144,3,0,0,1,0,0,1,0,0,0,0,0,0,0
Pepper__bell___healthy,3,216,0,1,0,0,0,1,0,0,0,0,0,0,0
Potato___Early_blight,0,0,147,2,0,0,1,0,0,0,0,0,0,0,0
Potato___Late_blight,0,0,2,140,2,0,3,3,0,0,0,0,0,0,0
Potato___healthy,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0
Tomato_Bacterial_spot,0,0,0,0,0,304,5,1,2,1,1,3,2,0,0
Tomato_Early_blight,2,0,0,1,0,9,111,5,1,7,0,12,1,1,0
Tomato_Late_blight,0,0,0,12,2,0,27,224,10,3,0,7,2,0,0
Tomato_Leaf_Mold,0,0,0,0,0,1,4,0,125,9,1,0,0,1,2
Tomato_Septoria_leaf_spot,1,2,3,0,0,15,9,4,3,214,2,8,0,3,1
Tomato_Spider_mites_Two_spotted_spider_mite,0,1,0,1,1,2,1,0,1,0,228,7,1,6,3
Tomato__Target_Spot,2,0,1,0,1,2,3,0,1,6,16,165,0,2,11
Tomato__Tomato_YellowLeaf__Curl_Virus,1,0,0,0,0,10,2,1,0,3,5,1,453,5,0
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,2,0,0,0,0,54,0
Tomato_healthy,0,1,0,0,0,0,0,0,0,0,2,7,0,1,227
