fact_id,category,crop,pest_or_disease,district,date_or_period,advisory_text,pesticide_name,active_ingredient,formulation,explicit_dose_text,safety_text,quality_control_status,source_report_title,source_report_year,source_filename,source_page,source_section,source_excerpt,extraction_status,confidence,reviewed
fact_00001,crop_disease_warning,wheat,rust; mildew,,2024-25,"Disease incidence of Wheat in Punjab during 2024-25 |  |  |  | 
Month | Smut | BrownRust | Yellow Rust | Powdery Mildew
January | 0.01 | 0.08 | 0.05 | 0.00
February | 0.17 | 0.18 | 1.06 | 0.01
March | 1.84 | 1.03 | 4.03 | 0.04
April | 0.75 | 0.72 | 0.87 | 0.00",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,8,table_1,"Disease incidence of Wheat in Punjab during 2024-25 |  |  |  | 
Month | Smut | BrownRust | Yellow Rust | Powdery Mildew
January | 0.01 | 0.08 | 0.05 | 0.00
February | 0.17 | 0.18 | 1.06 | 0.01
March | 1.84 | 1.03 | 4.03 | 0.04
April | 0.75 | 0.72 | 0.87 | 0.00",extracted_from_table,0.85,false
fact_00002,general_agricultural_advisory,cotton,bollworm,,,"Cotton Bollworms Situation in Punjab during 2024 (Above ETL) |  | 
Month | PBW | AW
MARCH | 0.0 | 0.2
APRIL | 0.0 | 0.8
MAY | 0.3 | 0.7
JUNE | 0.2 | 0.1",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,11,table_1,"Cotton Bollworms Situation in Punjab during 2024 (Above ETL) |  | 
Month | PBW | AW
MARCH | 0.0 | 0.2
APRIL | 0.0 | 0.8
MAY | 0.3 | 0.7
JUNE | 0.2 | 0.1",extracted_from_table,0.7,false
fact_00003,crop_disease_warning,sugarcane,,,2024-25,"Disease incidence of Sugarcane in Punjab during 2024-25 |  | 
Month | RED ROT | WHIP SMUT
Jul | 4.7 | 1.0
Aug | 6.4 | 1.1
Sep | 7.1 | 1.0
Oct | 4.1 | 0.3",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,21,table_1,"Disease incidence of Sugarcane in Punjab during 2024-25 |  | 
Month | RED ROT | WHIP SMUT
Jul | 4.7 | 1.0
Aug | 6.4 | 1.1
Sep | 7.1 | 1.0
Oct | 4.1 | 0.3",extracted_from_table,0.85,false
fact_00004,pesticide_safety,maize,armyworm; borer,Khanewal; Lodhran; Multan; Vehari,2024-25,"DISTRICTWISE PEST SCOUTING REPORT OF MAIZE 2024-25 (Above ETL) |  |  |  |  |  |  |  | 
Sr. # | District | Army Worm | Fall Army worm | Hopper | Toka | Shoot Fly | Maize Stem Borer | Helicoverpa
1 | Multan | 37 | 189 | 0 | 0 | 0 | 0 | 3
2 | Khanewal | 3 | 209 | 0 | 0 | 6 | 0 | 3
3 | Vehari | 22 | 111 | 0 | 0 | 0 | 0 | 0
4 | Lodhran | 0 | 216 | 0 | 0 | 0 | 0 | 0",,,,,"# | District | Army Worm | Fall Army worm | Hopper | Toka | Shoot Fly | Maize Stem Borer | Helicoverpa
1 | Multan | 37 | 189 | 0 | 0 | 0 | 0 | 3
2 | Khanewal | 3 | 209 | 0 | 0 | 6 | 0 | 3
3 | Vehari | 22 | 111 | 0 | 0 | 0 | 0 | 0
4 | Lodhran | 0 | 216 | 0 | 0 | 0 | 0 | 0",,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,23,table_1,"DISTRICTWISE PEST SCOUTING REPORT OF MAIZE 2024-25 (Above ETL) |  |  |  |  |  |  |  | 
Sr. # | District | Army Worm | Fall Army worm | Hopper | Toka | Shoot Fly | Maize Stem Borer | Helicoverpa
1 | Multan | 37 | 189 | 0 | 0 | 0 | 0 | 3
2 | Khanewal | 3 | 209 | 0 | 0 | 6 | 0 | 3
3 | Vehari | 22 | 111 | 0 | 0 | 0 | 0 | 0
4 | Lodhran | 0 | 216 | 0 | 0 | 0 | 0 | 0",extracted_from_table,0.9,false
fact_00005,general_agricultural_advisory,citrus,,,2024-25,"Pest Situation of Citrus in Punjab 2024-25 (Above ETL) |  |  |  |  |  |  |  |  | 
Month | a
yll
s
P | r
e
n
Mi
f
a
e
L | y
fl
e
t
hi
W | s
p
i
r
h
T | r
a
pill
r
e
t
a
C | s
e
al
c
S
d
e
R | s
e
t
Mi | g
u
b
y
al
e
M | y
Fl
t
ui
r
F
Jul | 0.0 | 1.2 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Aug | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Sep | 0.1 | 1.4 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0
Oct | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,26,table_1,"Pest Situation of Citrus in Punjab 2024-25 (Above ETL) |  |  |  |  |  |  |  |  | 
Month | a
yll
s
P | r
e
n
Mi
f
a
e
L | y
fl
e
t
hi
W | s
p
i
r
h
T | r
a
pill
r
e
t
a
C | s
e
al
c
S
d
e
R | s
e
t
Mi | g
u
b
y
al
e
M | y
Fl
t
ui
r
F
Jul | 0.0 | 1.2 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Aug | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Sep | 0.1 | 1.4 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0
Oct | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0",extracted_from_table,0.7,false
fact_00006,crop_disease_warning,citrus,,,2024-25,"DISEASE INCIDENCE OF CITRUS IN PUNJAB IN 2024-25 (Above ETL) |  |  |  |  |  |  | 
Month | p
Ti
r
e
h
t
Wi | r
a
k
n
a
C | e
s
o
n
a
al
M | t
o
R
t
ui
r
F | b
a
c
S | s
si
o
m
m
u
G | e
n
cli
e
D
w
o
Sl
Jul | 57.2 | 25.5 | 1.0 | 0.0 | 10.6 | 13.6 | 10.0
Aug | 57.1 | 28.7 | 4.1 | 0.0 | 9.0 | 9.6 | 9.8
Sep | 58.4 | 30.5 | 1.2 | 0.0 | 7.6 | 9.6 | 10.4
Oct | 50.3 | 30.9 | 2.8 | 0.0 | 11.0 | 7.8 | 8.1",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,27,table_1,"DISEASE INCIDENCE OF CITRUS IN PUNJAB IN 2024-25 (Above ETL) |  |  |  |  |  |  | 
Month | p
Ti
r
e
h
t
Wi | r
a
k
n
a
C | e
s
o
n
a
al
M | t
o
R
t
ui
r
F | b
a
c
S | s
si
o
m
m
u
G | e
n
cli
e
D
w
o
Sl
Jul | 57.2 | 25.5 | 1.0 | 0.0 | 10.6 | 13.6 | 10.0
Aug | 57.1 | 28.7 | 4.1 | 0.0 | 9.0 | 9.6 | 9.8
Sep | 58.4 | 30.5 | 1.2 | 0.0 | 7.6 | 9.6 | 10.4
Oct | 50.3 | 30.9 | 2.8 | 0.0 | 11.0 | 7.8 | 8.1",extracted_from_table,0.85,false
fact_00007,crop_disease_warning,,,,2024-25,"DISEASE INCIDENCE OF GUAVE IN PUNJAB 2024-25 |  |  | 
Month | Anthracnose | Decline | Withertip
Jul | 25.80 | 12.17 | 11.30
Aug | 21.90 | 7.00 | 8.80
Sep | 20.81 | 7.24 | 11.31
Oct | 17.16 | 0.75 | 13.93",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,31,table_2,"DISEASE INCIDENCE OF GUAVE IN PUNJAB 2024-25 |  |  | 
Month | Anthracnose | Decline | Withertip
Jul | 25.80 | 12.17 | 11.30
Aug | 21.90 | 7.00 | 8.80
Sep | 20.81 | 7.24 | 11.31
Oct | 17.16 | 0.75 | 13.93",extracted_from_table,0.75,false
fact_00008,general_agricultural_advisory,vegetables,,,2024-25,"PEST SITUATION OF VEGETABLES IN PUNJAB 2024-25 |  |  |  |  | 
MONTH | Total No. of Spots | TOTAL AREA | Area Affected (Acre) | No. of Spots Above ETL
(Hot Spots) | No. of Spots Below ETL
(Hot Spots)
Jul-24 | 5112 | 11984 | 6461 | 1473 | 2240
Aug-24 | 4577 | 10448 | 6186 | 1221 | 2035
Sep-24 | 4325 | 10951 | 6048 | 1271 | 1642
Oct-24 | 5363 | 12107 | 5391 | 1070 | 1337",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,33,table_1,"PEST SITUATION OF VEGETABLES IN PUNJAB 2024-25 |  |  |  |  | 
MONTH | Total No. of Spots | TOTAL AREA | Area Affected (Acre) | No. of Spots Above ETL
(Hot Spots) | No. of Spots Below ETL
(Hot Spots)
Jul-24 | 5112 | 11984 | 6461 | 1473 | 2240
Aug-24 | 4577 | 10448 | 6186 | 1221 | 2035
Sep-24 | 4325 | 10951 | 6048 | 1271 | 1642
Oct-24 | 5363 | 12107 | 5391 | 1070 | 1337",extracted_from_table,0.7,false
fact_00009,pesticide_quality_control,,,Lahore,,"SUMMARY OF ANTI-ADULTERATION COMPAIGN OF PESTICIDES FROM 01-07-2024 TO
30.06.2025 |  |  |  |  |  |  |  | 
 |  | No. of
sampl
es
drawn |  |  |  |  |  | 
 |  |  | No. of
unfit
samples |  | No. of
raids
conducted | No. of
persons
arrested | Quantity
seized
(Kg/L) | Value of
seized
Quantity (Rs)
Sr.
No. |  |  |  | No. of FIRs
registered |  |  |  | 
 | Districts |  |  |  |  |  |  | 
1 | Lahore | 97 | 2 | 10 | 8 | 6 | 320.48 | 5,379,668",,,,,,registered; enforcement action,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,35,table_1,"SUMMARY OF ANTI-ADULTERATION COMPAIGN OF PESTICIDES FROM 01-07-2024 TO
30.06.2025 |  |  |  |  |  |  |  | 
 |  | No. of
sampl
es
drawn |  |  |  |  |  | 
 |  |  | No. of
unfit
samples |  | No. of
raids
conducted | No. of
persons
arrested | Quantity
seized
(Kg/L) | Value of
seized
Quantity (Rs)
Sr.
No. |  |  |  | No. of FIRs
registered |  |  |  | 
 | Districts |  |  |  |  |  |  | 
1 | Lahore | 97 | 2 | 10 | 8 | 6 | 320.48 | 5,379,668",extracted_from_table,0.8,false
fact_00010,pesticide_quality_control,,,Lahore,2024-25,"ANNUAL REPORT
2024-25
PEST WARNING & QUALITY CONTROL OF PESTICIDES
Email: [ pestwarning@yahoo.com ] Tel: [(042) 99204371]
Website:[ https://pestwarning-agripunjab.punjab.gov.pk/] Address: Agriculture House 21 Davis Road,
Facebook:[ https://web.facebook.com/agri.pwqcp ] Lahore",,,,,,,Pest Warning and Quality Control of Pesticides Annual Report,2024-25,Annual Report 2024-25_copy.pdf,1,Annual Report,"ANNUAL REPORT
2024-25
PEST WARNING & QUALITY CONTROL OF PESTICIDES
Email: [ pestwarning@yahoo.com ] Tel: [(042) 99204371]
Website:[ https://pestwarning-agripunjab.punjab.gov.pk/] Address: Agriculture House 21 Davis Road,
Facebook:[ https://web.facebook.com/agri.pwqcp ] Lahore",extracted,0.8,false
